token	tag	lemma	lttr
pierna	NC	pierna	6
femenina	ADJ	femenino	8
desnuda	ADJ	desnudo	7
presionando	VLger	presionar	11
sobre	PREP	sobre	5
el	ART	el	2
costado	NC	costado	7
de	PREP	de	2
un	ART	un	2
hombre	NC	hombre	6
,	CM	,	1
las	ART	el	3
que	CQUE	que	3
conversan	VLfin	conversar	9
sentadas	VLadj	sentar	8
y	CC	y	1
escuchando	VLger	escuchar	10
música	NC	música	6
,	CM	,	1
como	CSUBX	como	4
en	PREP	en	2
una	ART	un	3
escena	NC	escena	6
de	PREP	de	2
amor	NC	amor	4
cortesano	ADJ	<unknown>	9
,	CM	,	1
aunque	CSUBX	aunque	6
usen	VLfin	usar	4
un	ART	un	2
iphone	NC	<unknown>	6
en vez de	PREP	en~vez~de	9
un	ART	un	2
laúd	NC	laúd	4
,	CM	,	1
los	ART	el	3
grupos	NC	grupo	6
que	CQUE	que	3
juegan	VLfin	jugar	6
,	CM	,	1
los	ART	el	3
lectores	NC	lector	8
,	CM	,	1
los	ART	el	3
que	CQUE	que	3
corren	VLfin	correr	6
muy	ADV	muy	3
rápido	ADJ	rápido	6
,	CM	,	1
los	ART	el	3
que	CQUE	que	3
practican	VLfin	practicar	9
posturas	NC	postura	8
de	PREP	de	2
yoga	NC	<unknown>	4
o	CC	o	1
se	SE	se	2
mueven	VLfin	mover	6
con	PREP	con	3
la	ART	el	2
lenta	ADJ	lento	5
gestualidad	NC	<unknown>	11
del	PDEL	del	3
taichi	NP	<unknown>	6
.	FS	.	1
En	PREP	en	2
el	ART	el	2
Retiro	NP	<unknown>	6
,	CM	,	1
como	CSUBX	como	4
en	PREP	en	2
El	NP	<unknown>	2
Bosco	NP	<unknown>	5
,	CM	,	1
hay	VHfin	haber	3
gente	NC	gente	5
cabeza	NC	cabeza	6
abajo	ADV	abajo	5
.	FS	.	1
Del	PDEL	del	3
Retiro	NP	<unknown>	6
paso	NC	paso	4
a	PREP	a	1
los	ART	el	3
jardines	NC	jardín	8
y	CC	y	1
los	ART	el	3
infiernos	NC	infierno	9
pintados	VLadj	pintar	8
.	FS	.	1
El	ART	el	2
fondo	NC	fondo	5
de	PREP	de	2
los	ART	el	3
incendios	NC	incendio	9
nocturnos	ADJ	nocturno	9
y	CC	y	1
las	ART	el	3
ciudades	NC	ciudad	8
de	PREP	de	2
las	ART	el	3
que	CQUE	que	3
huyen	VLfin	huir	5
multitudes	NC	multitud	10
aterradas	VLadj	<unknown>	9
lo	PPC	él	2
veo	VLfin	ver	3
en	PREP	en	2
el	ART	el	2
telediario	NC	telediario	10
y	CC	y	1
en	PREP	en	2
las	ART	el	3
imágenes	NC	imagen	8
del	PDEL	del	3
periódico	ADJ	periódico	9
.	FS	.	1
En	PREP	en	2
cada	QU	cada	4
regreso	NC	regreso	7
al	PAL	al	2
Prado	NP	<unknown>	5
,	CM	,	1
El	NP	<unknown>	2
Bosco	NP	<unknown>	5
me	PPX	yo	2
parece	VLfin	parecer	6
un	ART	un	2
pintor	NC	pintor	6
todavía	ADV	todavía	7
más	ADV	más	3
realista	ADJ	realisto	8
.	FS	.	1
Las	ART	el	3
zonas	NC	zona	5
de	PREP	de	2
escrupulosa	ADJ	escrupuloso	11
observación	NC	observación	11
son	VSfin	ser	3
mucho	ADV	mucho	5
más	ADV	más	3
frecuentes	ADJ	frecuente	10
que	CQUE	que	3
las	ART	el	3
de	PREP	de	2
delirio	NC	delirio	7
.	FS	.	1
Lo	ART	el	2
fantástico	ADJ	fantástico	10
no	NEG	no	2
resulta	VLfin	resultar	7
de	PREP	de	2
la	ART	el	2
ruptura	NC	ruptura	7
con	PREP	con	3
lo	ART	el	2
visible	ADJ	visible	7
,	CM	,	1
sino	CCAD	sino	4
de	PREP	de	2
la	ART	el	2
mezcla	NC	mezcla	6
chocante	ADJ	chocante	8
de	PREP	de	2
algunos	QU	alguno	7
de	PREP	de	2
sus	PPO	suyo	3
elementos	NC	elemento	9
literales	ADJ	literal	9
,	CM	,	1
o	CC	o	1
simplemente	ADV	simple	11
de	PREP	de	2
una	ART	un	3
inversión	NC	inversión	9
en	PREP	en	2
las	ART	el	3
proporciones	NC	proporción	12
.	FS	.	1
Lo	ART	el	2
común	ADJ	común	5
se	SE	se	2
vuelve	VLfin	volver	6
monstruoso	ADJ	monstruoso	10
al	CSUBI	al	2
aumentar	VLinf	aumentar	8
de	PREP	de	2
tamaño	NC	tamaño	6
.	FS	.	1
El	ART	el	2
mejillón	NC	mejillón	8
entreabierto	VLadj	<unknown>	12
del	PDEL	del	3
que	CQUE	que	3
sobresalen	VLfin	sobresalir	10
las	ART	el	3
piernas	NC	pierna	7
enlazadas	VLadj	enlazar	9
de	PREP	de	2
una	ART	un	3
pareja	NC	pareja	6
es	VSfin	ser	2
un	ART	un	2
mejillón	NC	mejillón	8
ordinario	ADJ	ordinario	9
y	CC	y	1
también	ADV	también	7
una	ART	un	3
criatura	NC	criatura	8
o	CC	o	1
un	ART	un	2
artefacto	NC	artefacto	9
del	PDEL	del	3
tamaño	NC	tamaño	6
de	PREP	de	2
un	ART	un	2
ataúd	NC	ataúd	5
.	FS	.	1
Tan	ADV	tan	3
usuales	ADJ	usual	7
como	CSUBX	como	4
las	ART	el	3
cáscaras	NC	cáscara	8
de	PREP	de	2
los	ART	el	3
mejillones	NC	mejillón	10
eran	VLfin	erar|ser	4
en	PREP	en	2
su	PPO	suyo	2
ciudad	NC	ciudad	6
manufacturera	ADJ	manufacturero	13
y	CC	y	1
comerciante	NC	comerciante	11
los	ART	el	3
cuchillos	NC	cuchillo	9
que	CQUE	que	3
se	SE	se	2
fabricaban	VLfin	fabricar	10
en	PREP	en	2
ella	PPX	él	4
.	FS	.	1
Pero	CCAD	pero	4
cuando	CSUBX	cuando	6
uno	CARD	uno	3
de	PREP	de	2
esos	DM	ese	4
cuchillos	NC	cuchillo	9
adquiere	VLfin	adquirir	8
el	ART	el	2
tamaño	NC	tamaño	6
de	PREP	de	2
un	ART	un	2
carro	NC	carro	5
se	SE	se	2
convierte	VLfin	convertir	9
en	PREP	en	2
una	ART	un	3
herramienta	NC	herramienta	11
infernal	ADJ	infernal	8
,	CM	,	1
más	ADV	más	3
todavía	ADV	todavía	7
si	CSUBX	si	2
está	VEfin	estar	4
hendiendo	VLger	<unknown>	9
dos	CARD	dos	3
orejas	NC	oreja	6
gigantes	ADJ	gigante	8
que	CQUE	que	3
no	NEG	no	2
pertenecen	VLfin	pertenecer	10
a	PREP	a	1
ninguna	QU	ninguno	7
cabeza	NC	cabeza	6
,	CM	,	1
orejas	NC	oreja	6
traspasadas	VLadj	traspasar	11
por	PREP	por	3
el	ART	el	2
acero	NC	acero	5
como	CSUBX	como	4
los	ART	el	3
oídos	NC	oído	5
de	PREP	de	2
los	ART	el	3
pecadores	NC	pecador	9
que	CQUE	que	3
amaron	VLfin	amar	6
en	PREP	en	2
vida	NC	vida	4
la	ART	el	2
música	NC	música	6
profana	ADJ	profano	7
y	CC	y	1
han	VHfin	haber	3
sido	VSadj	ser	4
condenados	VLadj	condenar	10
a	PREP	a	1
una	ART	un	3
eternidad	NC	eternidad	9
de	PREP	de	2
ruidos	NC	ruido	6
como	CSUBX	como	4
los	ART	el	3
que	CQUE	que	3
revientan	VLfin	reventar	9
los	ART	el	3
tímpanos	NC	tímpano	8
en	PREP	en	2
un	ART	un	2
concierto	VLfin	concertar	9
de	PREP	de	2
pachanga	NC	<unknown>	8
electrónica	ADJ	electrónico	11
.	FS	.	1
Las	ART	el	3
plantas	NC	planta	7
y	CC	y	1
los	ART	el	3
pájaros	NC	pájaro	7
reales	ADJ	real	6
son	VSfin	ser	3
más	ADV	más	3
asombrosos	ADJ	asombroso	10
en	PREP	en	2
su	PPO	suyo	2
belleza	NC	belleza	7
y	CC	y	1
en	PREP	en	2
su	PPO	suyo	2
complejidad	NC	complejidad	11
orgánica	ADJ	orgánico	8
que	CQUE	que	3
cualquiera	QU	cualquier	10
de	PREP	de	2
los	ART	el	3
inventados	VLadj	inventar	10
.	FS	.	1
El	ART	el	2
árbol	NC	árbol	5
más	ADV	más	3
inverosímil	ADJ	inverosímil	11
de	PREP	de	2
todo	QU	todo	4
El	NP	<unknown>	2
jardín	NC	jardín	6
de	PREP	de	2
las	ART	el	3
delicias	NC	delicia	8
es	VSfin	ser	2
un	ART	un	2
drago	NC	<unknown>	5
canario	ADJ	canario	7
.	FS	.	1
Es	VSfin	ser	2
difícil	ADJ	difícil	7
que	CQUE	que	3
El	VLfin	<unknown>	2
Bosco	NP	<unknown>	5
llegara	VLfin	llegar	7
a	PREP	a	1
verlos	VLinf	ver	6
,	CM	,	1
pero	CCAD	pero	4
justo	ADJ	justo	5
en	PREP	en	2
los	ART	el	3
mismos	ADJ	mismo	6
años	NC	año	4
en	PREP	en	2
los	ART	el	3
que	CQUE	que	3
él	PPX	él	2
pintaba	VLfin	pintar	7
sus	PPO	suyo	3
bestiarios	NC	<unknown>	10
y	CC	y	1
sus	PPO	suyo	3
prodigios	NC	prodigio	9
botánicos	ADJ	<unknown>	9
,	CM	,	1
ojos	NC	ojo	4
europeos	ADJ	europeo	8
estaban	VEfin	estar	7
viendo	VLger	ver	6
por	PREP	por	3
primera	ORD	primero	7
vez	NC	vez	3
los	ART	el	3
animales	NC	animal	8
y	CC	y	1
las	ART	el	3
plantas	NC	planta	7
de	PREP	de	2
América	NP	América	7
y	CC	y	1
,	CM	,	1
como	CSUBX	como	4
no	NEG	no	2
sabían	VLfin	saber	6
a	PREP	a	1
qué	INT	qué	3
compararlos	VLinf	<unknown>	11
,	CM	,	1
los	PPC	él	3
confundían	VLfin	confundir	10
con	PREP	con	3
los	ART	el	3
seres	NC	ser	5
mitológicos	ADJ	<unknown>	11
y	CC	y	1
disparatados	VLadj	disparatar	12
de	PREP	de	2
las	ART	el	3
miniaturas	NC	<unknown>	10
.	FS	.	1
La	ART	el	2
choza	NC	choza	5
campesina	NC	campesino	9
holandesa	ADJ	holandés	9
en	PREP	en	2
la	ART	el	2
que	CQUE	que	3
la	ART	el	2
Virgen	NP	Virgen	6
y	CC	y	1
el	ART	el	2
Niño	NP	Niño	4
reciben	VLfin	recibir	7
el	ART	el	2
homenaje	NC	homenaje	8
de	PREP	de	2
los	ART	el	3
Reyes	NP	Rey	5
Magos	NP	<unknown>	5
es	VSfin	ser	2
hiperrealista	ADJ	<unknown>	13
en	PREP	en	2
su	PPO	suyo	2
detallismo	NC	<unknown>	10
,	CM	,	1
en	PREP	en	2
su	PPO	suyo	2
pobreza	NC	pobreza	7
,	CM	,	1
en	PREP	en	2
su	PPO	suyo	2
precariedad	NC	<unknown>	11
.	FS	.	1
Por	PREP	por	3
eso	DM	ese	3
resulta	VLfin	resultar	7
más	ADV	más	3
amenazador	ADJ	<unknown>	10
el	ART	el	2
Anticristo	NP	<unknown>	10
sonriente	ADJ	sonriente	9
y	CC	y	1
rojizo	ADJ	<unknown>	6
que	CQUE	que	3
se	SE	se	2
asoma	VLfin	asomar	5
al	PAL	al	2
umbral	NC	umbral	6
.	FS	.	1
Si	CSUBX	si	2
el	ART	el	2
Anticristo	NP	<unknown>	10
puede	VMfin	poder	5
esconderse	VCLIinf	esconderse	10
en	PREP	en	2
un	ART	un	2
sitio	NC	sitio	5
tan	ADV	tan	3
cotidiano	ADJ	cotidiano	9
,	CM	,	1
tan	ADV	tan	3
reconocible	ADJ	reconocible	11
para	PREP	para	4
cualquier	QU	cualquier	9
contemporáneo	ADJ	contemporáneo	13
del	PDEL	del	3
cuadro	NC	cuadro	6
,	CM	,	1
entonces	ADV	entonces	8
no	NEG	no	2
hay	VHfin	haber	3
lugar	NC	lugar	5
seguro	ADJ	seguro	6
ni	CCNEG	ni	2
nadie	NC	nadie	5
que	CQUE	que	3
esté	VEfin	estar	4
a	PREP	a	1
salvo	ADV	salvo	5
de	PREP	de	2
su	PPO	suyo	2
maleficio	NC	<unknown>	9
.	FS	.	1
El	ART	el	2
Bosco	NP	<unknown>	5
es	VSfin	ser	2
especialista	NC	especialista	12
en	PREP	en	2
graduar	VLinf	graduar	7
distancias	NC	distancia	10
,	CM	,	1
desde	PREP	desde	5
el	ART	el	2
plano	NC	plano	5
próximo	ADJ	próximo	7
de	PREP	de	2
lo	ART	el	2
casi	ADV	casi	4
tangible	ADJ	<unknown>	8
hasta	PREP	hasta	5
el	ART	el	2
horizonte	NC	horizonte	9
que	CQUE	que	3
se	SE	se	2
disuelve	VLfin	disolver	8
en	PREP	en	2
azules	ADJ	azul	6
y	CC	y	1
blancos	ADJ	blanco	7
.	FS	.	1
En	PREP	en	2
la	ART	el	2
parte	NC	parte	5
delantera	ADJ	delantero	9
del	PDEL	del	3
cuadro	NC	cuadro	6
,	CM	,	1
como	CSUBX	como	4
en	PREP	en	2
un	ART	un	2
escenario	NC	escenario	9
,	CM	,	1
suceden	VLfin	suceder	7
las	ART	el	3
solemnidades	NC	solemnidad	12
de	PREP	de	2
la	ART	el	2
Teología	NP	<unknown>	8
,	CM	,	1
la	ART	el	2
santidad	NC	<unknown>	8
,	CM	,	1
el	ART	el	2
martirio	NC	martirio	8
,	CM	,	1
el	ART	el	2
milagro	NC	milagro	7
.	FS	.	1
Un	ART	un	2
poco	ADV	poco	4
más	ADV	más	3
allá	ADV	allá	4
empieza	VLfin	empezar	7
el	ART	el	2
mundo	NC	mundo	5
real	ADJ	real	4
,	CM	,	1
y	CC	y	1
la	ART	el	2
lejanía	NC	lejanía	7
desde	PREP	desde	5
la	ART	el	2
que	CQUE	que	3
se	SE	se	2
distingue	VLfin	distinguir	9
no	NEG	no	2
mitiga	VLfin	mitigar	6
ni	CCNEG	ni	2
la	ART	el	2
riqueza	NC	riqueza	7
de	PREP	de	2
lo	ART	el	2
concreto	ADJ	concreto	8
visual	ADJ	visual	6
ni	CCNEG	ni	2
el	ART	el	2
espanto	NC	espanto	7
.	FS	.	1
Hay	VHfin	haber	3
borrachos	NC	borracho	9
que	CQUE	que	3
bailan	VLfin	bailar	6
,	CM	,	1
acompañándose	VLadj	<unknown>	13
groseramente	ADV	grosero	12
de	PREP	de	2
gaitas	NC	gaita	6
,	CM	,	1
hombres	NC	hombre	7
y	CC	y	1
mujeres	NC	mujer	7
"	"	FS	"	"	1
hay	VHfin	haber	3
bandoleros	NC	bandolero	10
que	CQUE	que	3
roban	VLfin	robar	5
y	CC	y	1
asesinan	VLfin	asesinar	8
a	PREP	a	1
los	ART	el	3
viajeros	NC	viajero	8
por	PREP	por	3
los	ART	el	3
caminos	NC	camino	7
solitarios	ADJ	solitario	10
"	"	FS	"	"	1
hay	VHfin	haber	3
animales	NC	animal	8
salvajes	ADJ	salvaje	8
que	CQUE	que	3
atacan	VLfin	atacar	6
a	PREP	a	1
mujeres	NC	mujer	7
despavoridas	VLadj	<unknown>	12
:	FS	:	1
un	ART	un	2
diminuto	ADJ	diminuto	8
toque	NC	toque	5
de	PREP	de	2
blanco	NC	blanco	6
es	VSfin	ser	2
un	ART	un	2
tocado	ADJ	tocado	6
al	PAL	al	2
viento	NC	viento	6
de	PREP	de	2
una	ART	un	3
mujer	NC	mujer	5
que	CQUE	que	3
quiere	VLfin	querer	6
huir	VLinf	huir	4
,	CM	,	1
en	PREP	en	2
un	ART	un	2
paisaje	NC	paisaje	7
de	PREP	de	2
tranquila	ADJ	tranquilo	9
belleza	NC	belleza	7
,	CM	,	1
en	PREP	en	2
el	ART	el	2
que	CQUE	que	3
se	SE	se	2
consumará	VLfin	consumar	9
un	ART	un	2
horror	NC	horror	6
usual	ADJ	usual	5
sin	PREP	sin	3
testigos	NC	testigo	8
.	FS	.	1
Hay	VHfin	haber	3
siempre	ADV	siempre	7
ejércitos	NC	ejército	9
que	CQUE	que	3
marchan	VLfin	marchar	7
los	ART	el	3
unos	ART	un	4
contra	PREP	contra	6
los	ART	el	3
otros	QU	otro	5
,	CM	,	1
cuadrillas	NC	cuadra	10
errantes	ADJ	<unknown>	8
de	PREP	de	2
señores	NC	señor	7
de	PREP	de	2
la	ART	el	2
guerra	NC	guerra	6
y	CC	y	1
soldados	NC	soldado	8
sin	PREP	sin	3
ley	NC	ley	3
.	FS	.	1
Cruzan	VLfin	cruzar	6
ríos	NC	río	4
al	PAL	al	2
galope	NC	galope	6
y	CC	y	1
asedian	VLfin	asediar	7
ciudades	NC	ciudad	8
,	CM	,	1
a	PREP	a	1
las	ART	el	3
que	CQUE	que	3
prenden	VLfin	prendar|prender	7
fuego	NC	fuego	5
una	ART	un	3
vez	NC	vez	3
conquistadas	VLadj	conquistar	12
y	CC	y	1
sometidas	VLadj	someter	9
al	PAL	al	2
pillaje	NC	<unknown>	7
,	CM	,	1
mientras	CSUBX	mientras	8
los	ART	el	3
supervivientes	NC	superviviente	14
escapan	VLfin	escapar	7
de	PREP	de	2
ellas	PPX	él	5
entre	PREP	entre	5
las	ART	el	3
ruinas	VLfin	ruinar	6
,	CM	,	1
a	PREP	a	1
la	ART	el	2
luz	NC	luz	3
de	PREP	de	2
los	ART	el	3
incendios	NC	incendio	9
,	CM	,	1
figuras	NC	figura	7
mínimas	ADJ	pequeño	7
en	PREP	en	2
una	ART	un	3
gran	ADJ	gran|grande	4
tragedia	NC	tragedia	8
en	PREP	en	2
la	ART	el	2
que	CQUE	que	3
sus	PPO	suyo	3
vidas	NC	vida	5
valen	VLfin	valer	5
menos	ADV	menos	5
que	CQUE	que	3
vidas	NC	vida	5
de	PREP	de	2
insectos	NC	insecto	8
.	FS	.	1
Huyen	VLfin	huir	5
inundando	VLger	inundar	9
los	ART	el	3
caminos	NC	camino	7
,	CM	,	1
llevando	VLger	llevar	8
consigo	PREP	consigo	7
lo	ART	el	2
poco	ADV	poco	4
que	CQUE	que	3
han	VHfin	haber	3
podido	VMadj	poder	6
salvar	VLinf	salvar	6
,	CM	,	1
como	CSUBX	como	4
en	PREP	en	2
los	ART	el	3
Balcanes	NP	<unknown>	8
o	CC	o	1
en	PREP	en	2
Siria	NP	Siria	5
,	CM	,	1
hace	VLfin	hacer	4
cinco	CARD	cinco	5
siglos	NC	siglo	6
o	CC	o	1
ahora	ADV	ahora	5
.	FS	.	1
Bien	ADV	bien	4
mirado	VLadj	mirar	6
,	CM	,	1
cuando	CSUBX	cuando	6
se	SE	se	2
llega	VLfin	llegar	5
del	PDEL	del	3
Retiro	NP	<unknown>	6
,	CM	,	1
uno	CARD	uno	3
se	SE	se	2
da	VLfin	dar	2
cuenta	NC	cuenta	6
de	PREP	de	2
que	CQUE	que	3
nadie	NC	nadie	5
disfruta	VLfin	disfrutar	8
mucho	ADV	mucho	5
en	PREP	en	2
El	ADJ	<unknown>	2
jardín	NC	jardín	6
de	PREP	de	2
las	ART	el	3
delicias	NC	delicia	8
.	FS	.	1
Personas	NC	persona	8
muy	ADV	muy	3
parecidas	VLadj	parecer	9
entre	PREP	entre	5
sí	PPX	él	2
,	CM	,	1
castas	ADJ	casto	6
y	CC	y	1
desnudas	ADJ	desnudo	8
,	CM	,	1
se	SE	se	2
entregan	VLfin	entregar	8
a	PREP	a	1
los	ART	el	3
placeres	NC	placer	8
con	PREP	con	3
expresiones	NC	expresión	11
de	PREP	de	2
neutra	ADJ	neutro	6
laboriosidad	NC	laboriosidad	12
,	CM	,	1
en	PREP	en	2
muestrarios	NC	<unknown>	11
de	PREP	de	2
posturas	NC	postura	8
eróticas	ADJ	erótico	8
que	CQUE	que	3
tienen	VLfin	tener	6
algo	QU	algo	4
de	PREP	de	2
la	ART	el	2
variedad	NC	variedad	8
exhaustiva	ADJ	exhaustivo	10
y	CC	y	1
reglamentada	VLadj	reglamentar	12
de	PREP	de	2
la	ART	el	2
